0.0,/noconfig
0.0,-noconfig
0.0,anycpu32bitpreferred
0.0,itanium
0.0,anycpu
0.0,arm64
0.0,.exe
0.0,afterif
0.0,alternative
0.0,start
0.0,Missing
0.0,loop
0.0,sharedWhenExpression
0.0,dagNode
0.0,ComputeStringHash̀s
0.0,again
0.0,"({0},{1},{2},{3})"
0.0,"({0},{1})"
0.0,<>p__
0.0,File
0.0,<null>
0.0,MoveNext
0.0,<global namespace>̀M
0.0,CS$<>8__locals
0.0,NullableContextOptions
0.0,<Module>
0.0,CS$<
0.0,<>4__this
0.0,ruleset
0.0,reference
0.0,langversioǹa
0.0,analyzer
0.0,nowarn
0.0,resource
0.0,nostdlib+
0.0,target
0.0,preferreduilang
0.0,delaysign+
0.0,filealign
0.0,warn
0.0,optimize-
0.0,subsystemversion
0.0,warnaserror-
0.0,unsafe-
0.0,unsafe+
0.0,fullpaths
0.0,debug+
0.0,debug-
0.0,checked-
0.0,noconfig
0.0,platform
0.0,link
0.0,win32icon
0.0,debug
0.0,full
0.0,keyfile
0.0,highentropyva+
0.0,baseaddress
0.0,utf8output
0.0,main
0.0,errorendlocation
0.0,errorreport
0.0,<text>
0.0,keycontainer
0.0,touchedfiles
0.0,"<file>[,version={1|1.0|2|2.1}]"
0.0,/errorlog:
0.0,:<text>
0.0,<file list>̀0
0.0,Script̀i
0.0,loadpath
0.0,loadpaths
0.0,usings
0.0,import
0.0,imports̀d
0.0,codepage
0.0,checksumalgorithm
0.0,checked+
0.0,nullable+
0.0,nullable-
0.0,instrument
0.0,sqmsessionguid
0.0,nosdkpath
0.0,refout
0.0,refonlỳt
0.0,moduleassemblyname
0.0,modulename
0.0,recurse
0.0,generatedfilesout
0.0,addmodule
0.0,win32res
0.0,win32manifest
0.0,nowin32manifest
0.0,linkres
0.0,linkresource
0.0,sourcelink̀o
0.0,optimize
0.0,optimize+
0.0,deterministic
0.0,deterministic+
0.0,deterministic-́p
0.0,parallel
0.0,parallel+
0.0,parallel-
0.0,warnaserror
0.0,warnaserror+̀w
0.0,delaysign
0.0,delaysign-
0.0,publicsign
0.0,publicsign+
0.0,publicsign-
0.0,highentropyva
0.0,highentropyva-
0.0,nologo
0.0,bugreport̀m
0.0,pathmap
0.0,reportanalyzer
0.0,skipanalyzers
0.0,skipanalyzers+
0.0,skipanalyzers-
0.0,nostdlib
0.0,nostdlib-
0.0,errorlog
0.0,appconfig
0.0,runtimemetadataversion
0.0,additionalfile
0.0,analyzerconfig
0.0,embed
0.0,<string>
0.0,/doc:
0.0,/addmodule:
0.0,pdbonly
0.0,portable
0.0,embedded
0.0,help
0.0,version
0.0,features
0.0,libpath
0.0,libpaths
0.0,/langversion:
0.0,mscorlib.dll
0.0,0x{0:X}
0.0,MetadataImportOptions
0.0,MainTypeName
0.0,OutputKind
0.0,OptimizationLevel
0.0,ScriptClassName
0.0,WarningLevel
0.0,Usings
0.0,8.0̀1̀2̀3̀4̀5̀6
0.0,10.0
0.0,latest
0.0,latestmajor
0.0,preview
0.0,iso-1
0.0,iso-2
0.0,6.0̀7̀8̀9
0.0,null
0.0,param
0.0,type
0.0,string
0.0,char
0.0,void
0.0,object
0.0,typeof
0.0,true
0.0,false
0.0,else
0.0,while
0.0,foreach
0.0,switch
0.0,case
0.0,default
0.0,lock
0.0,throw
0.0,catch
0.0,finally
0.0,goto
0.0,break
0.0,continue
0.0,return
0.0,public
0.0,private
0.0,internal
0.0,protected
0.0,static
0.0,readonly
0.0,sealed
0.0,const
0.0,volatile
0.0,override
0.0,abstract
0.0,virtual
0.0,event
0.0,extern
0.0,params
0.0,this
0.0,base
0.0,namespace
0.0,using
0.0,class
0.0,struct
0.0,interface
0.0,enum
0.0,delegate
0.0,unchecked
0.0,unsafe
0.0,operator
0.0,implicit
0.0,explicit
0.0,bool
0.0,long
0.0,double
0.0,uint
0.0,float
0.0,short
0.0,byte
0.0,ushort
0.0,decimal
0.0,ulong
0.0,sbyte
0.0,partial
0.0,from
0.0,group
0.0,where
0.0,select
0.0,remove
0.0,alias
0.0,ascending
0.0,assembly
0.0,module
0.0,field
0.0,method
0.0,property
0.0,global
0.0,async
0.0,nameof
0.0,init
0.0,"record̀!̀}̀.̀{̀;̀""̀'́)̀=̀>̀(̀<"
0.0,"</̀,̀[̀:̀]̀#"
0.0,endregioǹ-
0.0,!=̀+
0.0,region
0.0,--́?
0.0,endif
0.0,>=̀/̀*̀|
0.0,<=̀&̀~
0.0,yield̀%
0.0,elif
0.0,join
0.0,disable
0.0,enable
0.0,warning
0.0,pragma
0.0,restorè^
0.0,define
0.0,undef
0.0,error
0.0,line
0.0,hidden
0.0,checksum̀r
0.0,load
0.0,nullable
0.0,warnings
0.0,annotations
0.0,into
0.0,orderby
0.0,equals
0.0,descending
0.0,typevar
0.0,when
0.0,with
0.0,managed
0.0,unmanaged
0.0,sizeof
0.0,fixed
0.0,stackalloc
0.0,checked
0.0,await
0.0,__arglist
0.0,"$@""̀_̀$̀\"
0.0,<!--
0.0,<![CDATA[
0.0,__makeref
0.0,__reftype
0.0,__refvaluèùl
0.0,<<<<<<<
0.0,code
0.0,list
0.0,value
0.0,example
0.0,include
0.0,remarks
0.0,seealso
0.0,summary
0.0,exception
0.0,typeparam
0.0,permission
0.0,typeparamref
0.0,cref
0.0,file
0.0,name
0.0,path
0.0,op_True
0.0,op_False
0.0,op_Equality
0.0,op_Inequality
0.0,op_LessThan
0.0,op_GreaterThan
0.0,op_LessThanOrEqual
0.0,op_GreaterThanOrEqual
0.0,op_Explicit
0.0,op_Implicit
0.0,op_Addition
0.0,op_BitwiseAnd
0.0,op_BitwiseOr
0.0,op_Division
0.0,op_ExclusiveOr
0.0,op_Modulus
0.0,op_Multiply
0.0,op_Subtraction
0.0,op_Decrement
0.0,op_Increment
0.0,op_LogicalNot
0.0,op_OnesComplement
0.0,op_UnaryNegation
0.0,op_UnaryPlus
0.0,op_LeftShift
0.0,op_RightShift
0.0,.ctor
0.0,.cctor
0.0,this[]
0.0,Finalize
0.0,Attribute
0.0,System
0.0,ValueTuple
0.0,Program
0.0,dynamic
0.0,Void
0.0,InAttribute
0.0,InteropServices
0.0,Runtime
0.0,IsExternalInit
0.0,OutAttribute
0.0,Invoke
0.0,Expressions
0.0,Linq
0.0,WrapNonExceptionThrows
0.0,run-nullable-analysis
0.0,always
0.0,never
0.0,Item
0.0,nint
0.0,nuint
0.0,_Title
0.0,_Description
0.0,https://msdn.microsoft.com/query/roslyn.query?appId=roslyn&k=k(
0.0,Compiler
0.0,<top-level-statements-entry-point>
0.0,AnonymousType
0.0,Tuplè@
0.0,missing
0.0,<anonymous delegate>
0.0,<Clone>$
0.0,CryptoKeyFile
0.0,PublicSign
0.0,DelaySign
0.0,CryptoKeyContainer
0.0,Clone
0.0,nullablePublicOnly
0.0,Equals
0.0,GetHashCode
0.0,ModuleHasInvalidAttributes
0.0,UnableToDetermineSpecificCauseOfFailure
0.0,strict
0.0,GetAwaiter
0.0,Rest
0.0,"<?xml version=""1.0""?>"
0.0,<doc>
0.0,<assembly>
0.0,<name>{0}</name>
0.0,</assembly>
0.0,<members>
0.0,</members>
0.0,</doc>
0.0,lambda expression
0.0,Expression
0.0,LambdaExpression
0.0,"<member name=""{0}"">"
0.0,</member>
0.0,’           
0.0,‑       
0.0,    
0.0,destination
0.0,modreq
0.0,modopt
0.0,container
0.0,left
0.0,right
0.0,notnull̀ÙL
0.0,Main
0.0,value__
0.0,elementType
0.0,CSharpSyntaxRewriter
0.0,get_VisitIntoStructuredTrivia
0.0,VisitToken
0.0,_shouldVisitTrivia
0.0,DoVisitList
0.0,VisitListElement
0.0,VisitListSeparator
0.0,System.Threading
0.0,CancellationToken
0.0,SyntaxNodeOrToken
0.0,queryDepth
0.0,ObjectDisplayOptions
0.0,get_HasReferenceDirectives
0.0,get_HasReferenceOrLoadDirectives
0.0,WriteCompilationOptionsCore
0.0,scriptParseOptions
0.0,CommonForEachStatementSyntax
0.0,ExternAliasDirectiveSyntax
0.0,QualifiedCrefSyntax
0.0,XmlNodeSyntax
0.0,XmlAttributeSyntax
0.0,GetRootCrefSyntax
0.0,XmlCrefAttributeSyntax
0.0,XmlNameAttributeSyntax
0.0,ElementBindingExpressionSyntax
0.0,BracketedArgumentListSyntax
0.0,SwitchSectionSyntax
0.0,DefaultSwitchLabelSyntax
0.0,CatchClauseSyntax
0.0,InterpolationAlignmentClauseSyntax
0.0,InterpolationFormatClauseSyntax
0.0,SwitchExpressionArmSyntax
0.0,AnonymousObjectMemberDeclaratorSyntax
0.0,PEParameterSymbol
0.0,lowestBoundNode
0.0,ArrayTypeSyntax
0.0,WhileStatementSyntax
0.0,AttributeListSyntax
0.0,CatchDeclarationSyntax
0.0,FixedStatementSyntax
0.0,ForEachVariableStatementSyntax
0.0,DoStatementSyntax
0.0,LabeledStatementSyntax
0.0,GlobalStatementSyntax
0.0,QueryContinuationSyntax
0.0,JoinIntoClauseSyntax
0.0,JoinClauseSyntax
0.0,LetClauseSyntax
0.0,FromClauseSyntax
0.0,DeclarationExpressionSyntax
0.0,DefaultExpressionSyntax
0.0,NullableTypeSyntax
0.0,ParseFunctionPointerTypeSyntax
0.0,AliasQualifiedNameSyntax
0.0,GenericNameSyntax
0.0,CreateBlendedNode
0.0,CSharpSyntaxWalker
0.0,VisitLeadingTrivia
0.0,VisitTrailingTrivia
0.0,get_OptionsCore
0.0,TryGetRootCore
0.0,GetRootAsyncCore
0.0,WithChangedText
0.0,VerifySpanForGetDiagnostics
0.0,GetLineSpan
0.0,GetMappedLineSpan
0.0,GetLineMappings
0.0,GetLineVisibility
0.0,GetMappedLineSpanAndVisibility
0.0,HasHiddenRegions
0.0,GetChangedSpans
0.0,GetLocation
0.0,IsEquivalentTo
0.0,GetChanges
0.0,get_Options
0.0,TryGetRoot
0.0,GetRootAsync
0.0,System.Threading.Tasks
0.0,Task`1
0.0,_lazyNullableContextAttribute
0.0,_lazyNullableAttribute
0.0,SimpleLambdaExpressionSyntax
0.0,GetQueryClauseInfo
0.0,NullableDirectiveTriviaSyntax
0.0,ShebangDirectiveTriviaSyntax
0.0,LoadDirectiveTriviaSyntax
0.0,ReferenceDirectiveTriviaSyntax
0.0,PragmaChecksumDirectiveTriviaSyntax
0.0,PragmaWarningDirectiveTriviaSyntax
0.0,LineSpanDirectiveTriviaSyntax
0.0,LineDirectivePositionSyntax
0.0,LineDirectiveTriviaSyntax
0.0,UndefDirectiveTriviaSyntax
0.0,DefineDirectiveTriviaSyntax
0.0,BadDirectiveTriviaSyntax
0.0,ErrorDirectiveTriviaSyntax
0.0,XmlCommentSyntax
0.0,XmlProcessingInstructionSyntax
0.0,XmlCDataSectionSyntax
0.0,XmlPrefixSyntax
0.0,CrefParameterSyntax
0.0,CrefBracketedParameterListSyntax
0.0,BaseCrefParameterListSyntax
0.0,ConversionOperatorMemberCrefSyntax
0.0,IndexerMemberCrefSyntax
0.0,TypeCrefSyntax
0.0,ISkippedTokensTriviaSyntax
0.0,FunctionPointerParameterSyntax
0.0,ConstructorInitializerSyntax
0.0,DefaultConstraintSyntax
0.0,TypeConstraintSyntax
0.0,ClassOrStructConstraintSyntax
0.0,ConstructorConstraintSyntax
0.0,TypeParameterConstraintClauseSyntax
0.0,PrimaryConstructorBaseTypeSyntax
0.0,TypeParameterSyntax
0.0,TypeParameterListSyntax
0.0,NameEqualsSyntax
0.0,AttributeTargetSpecifierSyntax
0.0,FinallyClauseSyntax
0.0,CatchFilterClauseSyntax
0.0,CasePatternSwitchLabelSyntax
0.0,ContinueStatementSyntax
0.0,BreakStatementSyntax
0.0,GotoStatementSyntax
0.0,EmptyStatementSyntax
0.0,ParenthesizedVariableDesignationSyntax
0.0,DiscardDesignationSyntax
0.0,InterpolatedStringTextSyntax
0.0,SlicePatternSyntax
0.0,ListPatternSyntax
0.0,UnaryPatternSyntax
0.0,TypePatternSyntax
0.0,RelationalPatternSyntax
0.0,ConstantPatternSyntax
0.0,SubpatternSyntax
0.0,PropertyPatternClauseSyntax
0.0,PositionalPatternClauseSyntax
0.0,RecursivePatternSyntax
0.0,VarPatternSyntax
0.0,DeclarationPatternSyntax
0.0,DiscardPatternSyntax
0.0,WhenClauseSyntax
0.0,ThrowExpressionSyntax
0.0,IsPatternExpressionSyntax
0.0,OmittedArraySizeExpressionSyntax
0.0,SelectOrGroupClauseSyntax
0.0,SelectClauseSyntax
0.0,OrderingSyntax
0.0,OrderByClauseSyntax
0.0,WhereClauseSyntax
0.0,QueryBodySyntax
0.0,ImplicitStackAllocArrayCreationExpressionSyntax
0.0,ImplicitArrayCreationExpressionSyntax
0.0,WithExpressionSyntax
0.0,ImplicitObjectCreationExpressionSyntax
0.0,MakeRefExpressionSyntax
0.0,NameColonSyntax
0.0,BaseExpressionColonSyntax
0.0,SizeOfExpressionSyntax
0.0,RefValueExpressionSyntax
0.0,RefTypeExpressionSyntax
0.0,BaseExpressionSyntax
0.0,ImplicitElementAccessSyntax
